Game;Player;Points;Question;Answer;Props;Prize
10;73;-1;Перед вами программа концерта в Императорском училище правоведения, одном из самых престижных учебных заведений России XIX и начала XX века. Открывался концерт увертюрой к опере Моцарта «Волшебная флейта», потом ещё следовали какие-то произведения, вы можете их изучить. И последний номер программы мы от вас скрыли. Каким произведением заканчивался этот концерт?;Боже, царя храни!;NULL;100000
11;111;1;"Вопрос снят самими телезрителями.
Мы находимся на горе Ведьм в одном из литовских курортных городков. Здесь можно увидеть множество статуй, изображающих героев литовского фольклора. Данная группа скульптур иллюстрирует легенду, по которой чёрт приходил на праздник к людям, обманывал их и похищал женщин. Боясь такой участи, женщины научились определять, мужчина рядом с ними или чёрт. Назовите этот способ. ";Наступает на пальцы ног;NULL;0
11;112;-1;"Внимание, Масабуми Хосоно!
Перед вами Масабуми Хосоно. Это японский государственный служащий, который в 1910 году был направлен в Российскую империю для ознакомления с работой железнодорожного транспорта. Покончив с делами, он отправился домой через Европу и Америку. В итоге, его командировка продлилась несколько лет, но оказавшись на родине, он стал объектом критики как со стороны общества, так и со стороны прессы. Почему соотечественники сочли его трусом? ";Не умер на Титанике;Фотография Масабуми Хосоно;200000
11;113;-1;"     Где-то вместе с тем портретом 
    Размещал автопортреты, 
    Но не хотел, чтоб сам портрет 
    Был принят за автопортрет. 

О чём речь? ";"О романе ""Евгений Онегин""";NULL;60000
11;68;1;Сергей Довлатов как-то заметил: «Одни читают это слева направо, а другие — справа налево». О чём это Довлатов? Что у нас за кулисами?;Меню;NULL;70000
11;114;-1;ВОПРОС ТРИНАДЦАТОГО СЕКТОРА: Я и мой друг Алексей Кортнев любим две игры: «Что? Где? Когда?» и, конечно, гольф, которому мы уделяем очень много времени. Сейчас мы находимся на Кипре. И вот здесь нашему вниманию предоставились вот такие конструкции. Это непонятные трубки строительные, которые лежат возле деревьев. Что это значит? Для чего? И с чем его едят? ;Кормушки для грызунов;NULL;70000
11;115;-1;В 2007 году Министерство финансов Шри-Ланки обратилось с просьбой о помощи в связи с дефицитом монет. К кому именно оно обратилось и с какой просьбой? ;К детям, отдать мелочь;NULL;80000
11;116;-1;"Внимание, чёрный ящик!
В 2013 году студенты Лестерского университета рассчитали параметры некоторых объектов, а затем с помощью уравнения Бернулли вычислили силу, способную их разрушить. По их расчётам, для этого была необходима скорость: для одного объекта — 4 829, для второго — 6 662, а для третьего — 8 301 м/с. То, где студенты нашли данные для своих расчётов, сейчас находится в чёрном ящике. Что в чёрном ящике? ";"Сказка ""Три поросёнка""";"Чёрный ящик с книгой ""Три поросёнка""";90000
11;117;1;"Внимание, спички и магнит!
С помощью этих предметов французский писатель Бернар Вербер предлагает решить казалось бы неразрешимую проблему. Что нужно сделать, и какой проблеме идёт речь? ";Найти иголку в стоге сена;Спички и магнит;0
11;118;0;Перед вами современная интерпретация классической японской композиции из трёх обезьян. Что делает четвёртая обезьяна? ;Смотрит в телефон;NULL;0
11;119;0;За использование этого снимка фотограф Дэвид Слейтер первое время получал хорошие деньги, но после того, как этот снимок стал очень популярен в интернете, платить ему перестали, и он подал в суд иск о нарушении авторских прав. Почему его иск был отклонён?;Снимок сделала сама обезяьна;NULL;0
11;120;1;В XVIII веке биолог Жорж де Бюффон для книги «Естественная история» описывал новый вид обезьян из рода павианов, бабуинов. В процессе работы семейство, ранее выдавшее учёному кредит, потребовало через суд вернуть свои деньги. Назовите фамилию кредиторов.;Бабуин;NULL;0
11;121;1;В Москве много переулков, получивших своё название от профессий людей, которые там жили. Например, на месте Трубниковского переулка жили трубочисты и печники, на месте Кисловского — кислошники (те, кто заготавливал соления для царского стола). А кто жил на месте Воротниковского переулка?;Стражи городских ворот;NULL;0
11;122;-1;"Внимание, солана!
Перед вами шляпа, придуманная в XVI веке в Венеции. С какой целью придумали такую шляпу? ";Осветлять волосы на солнце;"Шляпа ""солана""";100000
12;123;-1;«Они готовы подать в суд на любого, кто подпрыгивает вверх, размахивая руками». О ком так говорили в начале XX века? ;Братья Райт;NULL;50000
12;124;-1;"Вопрос снят самой телезрительницей.
В экспозиции Центрального военно-морского музея в Санкт-Петербурге есть такой экспонат XIX века. Для чего этот предмет, и как им пользовались? ";Морские беруши;NULL;60000
12;125;-1;В фасад одного здания в Праге встроено окошко с ящиком, куда каждый желающий может положить одну из своих находок, 20 крон и листок с контактными данными, после чего оперативно может получить ответ на вопрос. На какой вопрос дают ответ сотрудники, которые работают в этом здании, и что это за находка такая?;Съедобный или несъедобный найденный гриб;NULL;70000
12;126;-1;"Внимание, Поленов!
Художник Василий Поленов назвал эту картину в честь персонажа литературного произведения. Как именно? ";Стрекоза;Картина Поленова;80000
12;127;-1;"Внимание, два чёрных ящика!
В маленьком чёрном ящике находится аксессуар, подобный тому, что в конце XIX века выпускал один предприниматель на своей небольшой фабрике. Но в 20-е годы XX века мода изменилась, спрос на этот аксессуар упал, и чтобы не простаивало оборудование, предприниматель немного изменил этот аксессуар, добавил ручки, и появилось то, что сейчас находится в большом чёрном ящике. Что в чёрных ящиках? ";Сетка для волос и авоська;Чёрные ящики с сеткой для волос и авоськой;90000
12;128;1;В одном произведении Эдгар По писал, что для таких людей в этой ситуации наиболее правильной будет вертикальная позиция идущего человека, причём голову следует откинуть назад. О какой ситуации говорил Эдгар По и о каких людях?;Тонущие люди;NULL;100000
12;129;0;ВОПРОС БЛИЦА: О чём Ашот Наданян сказал так: «это смирительная рубашка поэта»? ;Рифма;NULL;0
12;56;0;ВОПРОС БЛИЦА: О чём Ашот Наданян сказал так: «это результат флирта мысли со словом»? ;Афоризм;NULL;0
12;130;1;ВОПРОС БЛИЦА: Закончите афоризм Ашота Наданяна: «Лучшие книги — те, которые нам…». ;…не вернули;NULL;100000
12;131;-1;В Австралии в середине XX века для посетителей кинотеатра «Sun Theatre» в Мельбурне (название неважно) была организована весьма необычная для нас услуга, нечто похожее на услуги гардероба. Если посетитель кинотеатра ею пользовался, то получал номер, который мог понадобиться во время сеанса. Что понимал зритель, когда вдруг видел во время сеанса на специальном экране свой номер? Для кого именно была придумана эта услуга?;Для матерей с маленькими детьми;NULL;250000
13;132;1;В 2013 году в одном из супермаркетов в штате Род-Айленд решили привлечь внимание к одной проблеме. С этой целью с прилавков магазина убрали более полутора тысяч продуктов. В частности, отдел овощей и фруктов стал выглядеть вот так. Так было, а так стало — остались цитрусовые, томаты, картофель, салат, что-то ещё. К какой проблеме пытались привлечь внимание организаторы этой акции?;Проблема исчезновения пчёл;NULL;0
13;133;-1;ВОПРОС СУПЕРБЛИЦА: На рекламном плакате фирмы по ремонту квартир были написаны три слова: «быстро, качественно, недорого». Что предлагалось сделать клиентам прежде, чем делать заказ? ;Выбрать два из трёх;NULL;50000
13;134;1;"Внимание, «Невыносимый груз»!
«Невыносимый груз» — это неполное название работы художника Танго. Правая часть рисунка тоже представлена вам не полностью. Дорисуйте правую часть рисунка и закончите название этой работы Танго. ";Одиночество;"Картина ""Невыносимый груз одиночества""";0
13;135;-1;«Всякий раз, когда я вижу звёзды, я начинаю мечтать так же непроизвольно, как я мечтаю, глядя на эти чёрные точки». О каких чёрных точках писал Ван Гог?;Города на карте;Карта Франции;60000
13;94;-1;"Внимание, чёрный ящик!
В чёрном ящике находится то, что древние индусы называли словом, которое имеет несколько вариантов перевода на русский язык, например, «галька», «гравий». Ещё одно слово я вам не скажу, иначе оно поможет вам ответить на вопрос «что в чёрном ящике». Догадайтесь, что это за слово, а также скажите, что в чёрном ящике. ";Сахар;Чёрный ящик с сахаром;70000
13;136;-1;В одном из залов парламента Оттавы находится портрет королевы Виктории, написанный Джоном Партриджем в 1842 году. Что произошло с этой картиной в 1849 году? ;Её вырезали из рамы;NULL;230000
13;137;-1;"Вопрос снят самим телезрителем.
Я нахожусь в ходовой рубке туристического теплохода. Здесь с помощью приборов и сигнализации судоводитель управляет судном. Посмотрите, какой прекрасный открывается вид. Кстати, обратите внимание на лобовые стёкла: они имеют обратный наклон. Для чего нужен этот наклон? ";Чтобы отвести отражение света;NULL;90000
13;138;1;"В 1967 году Джон Леннон получил письмо. Подросток по имени Стивен Бэйли рассказал музыканту о том, как в школе, где он учится и где раньше учился сам Леннон, проходят уроки английского языка и литературы. Это позабавило Джона и стало поводом для написания одной песни. Слушайте и смотрите.

    Я — он и ты — он, и ты — я, 
    и мы все вместе. 
    Посмотри, как они бегут, будто свиньи от ружья, 
    посмотри, как они летят. 
    Я в слезах. 

    Сидя на кукурузных хлопьях, 
    жду, когда приедет фургон. 
    Майка с логотипом корпорации, 
    чёртов вторник. 
    Приятель, ты был плохим мальчиком, 
    ты позволил своему лицу вытянуться. 

    Я — человек-яйцо, они — люди-яйца, 
    я — морж, гуу гуу джуб! 

Что же узнал Джон из письма Стивена? ";Его тексты анализируют на уроках литературы;NULL;0
13;139;-1;Однажды драматург Евгений Гришковец наблюдал, как прямо у него на глазах его сын из весёлого, загорелого, похудевшего и избегавшегося бездельника превращается во второклассника и ученика музыкальной школы. Где побывали отец с сыном?;В парикмахерской;NULL;125000
14;140;-1;ВОПРОС СУПЕРБЛИЦА: «Они все плохие, но верхние хуже нижних». О ком это сказал писатель Константин Мелихан? ;Соседи;NULL;50000
14;141;1;«Сначала мы были охотниками и потому видели собак и молодых женщин — всё то, что вызывало у нас интерес. В XVIII столетии мы поместили туда объекты, которые занимали умы в ту эпоху: павлина, телескоп, корму корабля. В XX веке люди узрели бы велосипеды, холодильники и грибовидное облако — набор человеческих надежд и страхов». О чём это сказал один американский учёный?;Созвездия;NULL;0
14;142;1;Что способствовало открытию закона всемирного тяготения Ньютона, появлению на свет «Короля Лира» Шекспира и нескольких произведений Пушкина, и, возможно, оставило нас без нескольких произведений Чехова?;Эпидемии;NULL;0
14;143;0;ВОПРОС БЛИЦА: Перед вами изобретение 1932 года. С какой целью был придуман такой велосипед? ;Для перемещения по воде;NULL;0
14;144;0;ВОПРОС БЛИЦА: Перед вами автомобиль, на котором в 2019 году был установлен рекорд. С какой целью на автомобиле установили такую конструкцию? ;Чтобы автомобиль не опрокинулся при подъёме в гору;NULL;0
14;145;1;ВОПРОС БЛИЦА: В пятьдесят седьмом году в Ленинграде появились трамваи нового поколения. Они сильно отличались дизайном от своих предшественников: округлая форма, яркие цвета, хромированная эмблема. Как водители между собой прозвали трамвай, который вы видите на экране? ;Стиляга;NULL;0
14;146;1;"Внимание, Тиция Бергсма!
Перед вами лишь несколько примеров, а всего в первой половине XIX века было сделано более 500 изображений этой голландки на веерах, ширмах и гравюрах. Также её можно было увидеть на более чем 4 миллионах изделий из фарфора. По какой причине Тиция Бергсма стала стол популярной в Японии? ";Она была единственной европейкой в Японии;Портреты Тиции Бергсма;0
14;147;-1;"Внимание, гла?зки самоклеющиеся для творчества!
С помощью этих предметов можно, например, сделать глаза самодельной кукле, оживить рисунок или аппликацию. Один находчивый предприниматель предложил использовать их в качестве простейшего аналога устройства, которое сейчас находится у нас за кулисами. Для чего предназначено это устройство? ";Для фиксации землетрясений;Самоклеющиеся глаза;60000
14;148;1;Сейчас мы с вами отправимся в Германию, на побережье Северного моря. На этой фотографии вы видите организованные группы туристов, но вообще здесь часто встречаются и просто пешеходы. С какой целью здесь установлены такие сооружения? ;Чтобы можно было укрыться во время прилива;NULL;0
14;149;-1;"Вопрос снят нашим корреспондентом.
Перед выходом своей книги стилист Анджела Келли проводила фотосессию. Ей удалось уговорить свою модель наконец-то сделать то, о чём та мечтала с детства, но ей мешали и запреты родителей, и, конечно, положение. Догадайтесь, что же она сделала. ";Положила руки в карманы;NULL;70000
14;150;1;"Внимание, чёрный ящик!
В чёрном ящике находится хорошо известный вам предмет, который некоторые хоккеисты используют во время тренировок вместо шайбы, отрабатывая навыки виртуозного владения клюшкой, ведь сила при этом — не главное. Что в чёрном ящике? ";Яйцо;Чёрный ящик с яйцом;0
15;5;-1;"Внимание, оргстекло, рулетка и верёвка!
Что узнаю?т некоторые специалисты при помощи такого набора? ";Длину змеи;Оргстекло, рулетка и верёвка;50000
15;151;-1;Вы не были на премьере фильма «Террор»? Это первый полностью звуковой фильм ужасов, и премьера состоялась в 1928 году. По задумке режиссёра, в самом конце картины на экране появлялся подобный персонаж. Что было у него в руках, и что он делал? ;Лист с титрами, он их зачитывал;Человек в чёрном балахоне;60000
15;152;-1;В определённое время года в некоторых армиях мира танкисты используют газеты. Как именно и для чего? ;Для камуфляжа;NULL;70000
15;153;0;ВОПРОС БЛИЦА: Закончите мысль режиссёра Андрея Тарковского: «Если убрать из человеческих занятий всё, относящееся к извлечению прибыли, останется лишь оно». Что имел в виду режиссёр?;Искусство;NULL;0
15;154;0;ВОПРОС БЛИЦА: Шахматисты говорят, что, в отличие от других видов искусства, в шахматах без него шедевр создать невозможно. О ком речь?;Противник;NULL;0
15;155;1;ВОПРОС БЛИЦА: «Дело музыкантов — создать красивую рамку вокруг этого совершенства». Что Стинг назвал «совершенством»?;Тишина;NULL;0
15;156;1;«Мы пошли с мамой в лес по малину и встретили медведя, а когда я убегала, то потеряла новую туфлю». «Отец работал каменщиком. Когда он меня целовал, то колол усами. У нас в доме жила морская свинка». «Мы с братом катались на калитке сада, она была скрипучая, и мы считали, что наша калитка с музыкой». Кому и в чём пыталась помочь радиостанция «Маяк», когда транслировала в середине 60-х годов подобные воспоминания?;Найти друг друга разлучённым войной;NULL;150000
15;157;1;«Кто бы он ни был, а писать повести надо вот так: просто, коротко и ясно». На какой вопрос был дан такой ответ? ;"Кто написал ""Повести Белкина""?";NULL;0
15;51;-1;ВОПРОС СУПЕРБЛИЦА: «Рыба» по-туркменски — «балык», а «ухо» — «гулак». В маленьком чёрном ящике находится то, что туркмены называют «балык гулак». Что в чёрном ящике?;Раковина;Чёрный ящик с раковиной;80000
15;158;1;"Вопрос снят самим телезрителем.
Я — Павел Попов. В своём родном Борисоглебске играю в «Что? Где? Когда?», капитан команды. Задаю вопрос вам впервые, но мечтаю когда-нибудь стать академиком Академии телезрителей. Академик Академии наук СССР, Герой Социалистического Труда, генерал-лейтенант медицинской службы, президент Географического общества СССР Евгений Павловский говорил: «Они, как путы на ногах у лошади, заставляют замедлять шаги и задирать голову». О чём он так сказал? ";О титулях;NULL;0
15;67;-1;«Один выглядит как несколько раздражённый бизнесмен, который ждёт запоздавший поезд. Другой как будто погружен в битву с невидимым демоном: его рот всегда открыт, а губы артикулируют непонятные слова. Третий словно пытается без рук застегнуть ширинку. А ещё один трясёт руками и головой так, будто у него вдвое больше суставов, чем у всех остальных». Так автор этих строк описал своих выдающихся коллег во время работы. Кто по профессии эти люди?;Дирижёры;NULL;90000
15;92;1;Эти индикаторы остановлены в фойе одного медицинского учреждения. На индикаторе справа — надпись «all», то есть в данном случае «всего», «итого». А условные обозначения на восьми оставшихся мы от вас скрыли. Напишите эти условные обозначения или просто скажите, что мы от вас скрыли.;Обозначения групп крови;NULL;0
15;159;1;ВОПРОС ТРИНАДЦАТОГО СЕКТОРА:  Загадка: Что бросают, когда нуждаются в этом, и поднимают, когда в этом нет нужды? ;Якорь;NULL;0
16;151;1;Сейчас мы с вами отправимся в индийский штат Раджастхан. Подобные сооружения появились на территории Индии примерно во II веке н.э.. Каково было основное предназначение этих сооружений?;Колодец;NULL;0
16;160;-1;"Телезрительница прочла интервью Дениса Мацуева.
«Я даже не сомневаюсь, что с этим вопросом вы справитесь как настоящие мастера своего дела. А если говорить об этом мастере своего дела, то, на мой взгляд, в нём есть что-то от экстрасенса, что-то от гипнотизёра, что-то от ударника и даже от дирижёра. В вашем чёрном ящике сейчас находится, можно сказать, его дирижёрская палочка». Что в чёрном ящике, и что это за мастера такие? ";Банный веник и банщики;Чёрный ящик с банным веником;200000
16;161;-1;«Должен непременно постараться использовать все возможности повернуть всё так, чтобы подать вопрос в новом и приемлемом свете». Это цитата из английского документа XVIII века. В аналогичном русском документе XIX века читаем: «Должен быть честным, беспристрастным, не иметь личных выгод в сходе данного дела. Обладать физическими и умственными качествами для достойного выполнения своего назначения». Для кого были написаны эти правила?;Секунданты;NULL;60000
16;162;1;"Вопрос снят самим телезрителем.
Сейчас я нахожусь в городе Петрозаводске, Республика Карелия. Хочу показать вам одну скульптуру, в названии которой фигурирует слово «формула». Что это за формула? ";Формула леса;NULL;70000
16;163;0;ВОПРОС БЛИЦА: Как-то раз телезритель обучал свою старшую дочь одному действию при помощи рук, после чего она ему сказала: «О, прикольно! Моя мама, моя младшая сестра и я оказались на горке, а мой папа оказался в ямке». Ответьте на вопрос: не «почему так получилось», а «чему он её обучал». ;Определению дней в месяце по косточкам пальцев;NULL;0
16;164;0;ВОПРОС БЛИЦА: Недавно семилетний племянник телезрительницы спросил её: «Почему, чтобы это случилось, нужно притвориться, чтобы это уже произошло?». О чём он её спросил? ;Заснуть;NULL;0
16;106;-1;"ВОПРОС БЛИЦА: Отгадайте загадку телезрительницы:

    В нём бесконечность, пустота, 
    Гармония и простота. 
    Я с ним умею обращаться, 
    Моя сестричка — нет пока. 

Что это? Что у нас за кулисами? ";Обруч;NULL;70000
16;165;0;В 2016 году Банк России выпустил серебряную монету. На одной стороне — Орёл, и на другой — Орёл. По какому поводу была выпущена эта монета?;К юбилею города Орёл;Юбилейная монета;0
16;166;-1;В прошлом году в Москве был открыт памятник, первый в своём роде. Кому посвящён этот памятник?;Курьерам;Фотография памятника;80000
16;167;1;Вы знакомы с творчеством Карла Брюллова? Какую прибавку получил в 1822 году Карл Павлович вместе с соизволением Государя Императора Александра I на свою первую поездку за границу в качестве художника?;Букву В в фамилии;NULL;0
16;168;1;Узнав об этом, Эдгар Дега сказал: «Я чувствую себя как скаковая лошадь, которая только что выиграла гран-при и видит, как кубок торжественно вручается жокею». Что же произошло? Какую новость так прокомментировал художник?;Его картина была продана за рекордную сумму, но он не получил денег;NULL;0
16;28;-1;"     … — 
    Словно ветка с зимним цветком 
    На рукавице… 

Какое занятие вдохновило японского поэта Исии Рогэцу? Как начинается это хайку? ";Соколиная охота;NULL;90000
16;67;1;"Внимание, чёрный ящик!
Несколько лет назад один из департаментов Вашингтона объявил конкурс: нужно было придумать понятное для жителей города объяснение одной закономерности. Победитель смог объяснить эту закономерность при помощи риса и приспособления, которое сейчас находится в чёрном ящике. Что за приспособление в чёрном ящике, и какую закономерность требовалось объяснить? ";Воронка, проблему пробок;Чёрный ящик с воронкой;0
16;169;1;ВОПРОС ТРИНАДЦАТОГО СЕКТОРА:  На сегодняшний день в этом месте никогда не было больше 13 человек одновременно, где? ;Космос;NULL;0
17;170;-1;Во время Второй мировой войны цензура строго отслеживала, чтобы в письмах военнослужащие не сообщали родственникам о месте своего нахождения. Рассказывают, что, зная об этом, американский доктор Говард Джонс вместе с супругой придумали свой способ шифровки. Для этого Говард предусмотрительно взял с собой в Европу два предмета. Такие же два предмета были и у его жены. Что это за предметы? Как мистеру Джонсу удавалось зашифровывать информацию о своём местоположении, а миссис Джонс — её расшифровывать? ;Карта и иголка, он прикладывал карту к конверту и вставлял иголку в своё местоположение;NULL;50000
17;171;-1;"Вопрос снят самим телезрителем.
Несколько лет назад я отдыхал в Евпатории. Там я попал на одну, можно сказать, «распродажу». Кому-то достались куртки, брюки, кому-то — носки?, кому-то — перчатки. Были там ещё и пояса, корсеты, и даже сапоги. То, без чего не могла бы состояться данная «распродажа», находится сейчас у вас в чёрном ящике. Что в чёрном ящике? ";Лечебная грязь;Чёрный ящик с лечебной грязью;210000
17;172;-1;Сейчас мы с вами перенесёмся на Амазонку. Этот ягуар собрался попить из реки, но дело это опасное — в воде кишат пираньи. К какой хитрости прибегают ягуары, чтобы безопасно попить из реки?;Бьёт по воде лапой и отбегает в другое место;NULL;70000
17;173;1;По мнению учёных, за последние 20 лет благодаря техническому прогрессу их количество внутри того, что сейчас находится у нас за кулисами, резко сократилось. И сократилось из-за сена и соломы. Что ещё осталось внутри того, что сейчас находится у нас за кулисами? ;Дырки в сыре;Сыр;80000
17;174;-1;"ВОПРОС БЛИЦА: Закончите хокку Мацунаги Тэйтоку:

    Мятые складки 
    Волн на реке расправляет 
    Прилежно … ";Лёд;NULL;80000
17;175;-1;Александр Большунов летом использует необычный способ отработки техники лыжного хода. Для этого ему нужен микроавтобус с открытой задней дверью. Что установлено внутри? ;Зеркало;NULL;115000
17;22;1;"Внимание, Большой театр!
Вот так выглядел Большой театр Санкт-Петербурга, просуществовавший до 1886 года. Затем здание было разобрано, а на его месте построена консерватория (но это так, для информации, это неважно). Фронтон театра венчала статуя древнеримской богини Минервы, покровительницы актёров. В руках она держала копьё и щит, на котором был специально выбит девиз: «Покоясь, продолжаю бдение». В чём смысл этого девиза? ";Копьё статуи служило громоотводом;NULL;0
17;176;1;ВОПРОС ТРИНАДЦАТОГО СЕКТОРА:  Чарли Чаплин однажды участвовал в одном уникальном конкурсе, где занял 3-е место. Но было бы логично — если бы занял первое. В каком конкурсе? ;В конкурсе двойников Чарли Чаплина;NULL;0
17;161;0;ВОПРОС СУПЕРБЛИЦА: После какого события, по словам Валентина Берестова, вся его родня получила повышение в чине за выслугу лет? Что имел в виду поэт? ;После рождения первенца;NULL;0
17;177;0;ВОПРОС СУПЕРБЛИЦА: О какой фамилии Владимир Набоков говорил: Она гениально придумана, потому что у русского уха она создаёт ощущение лёгкости, бездумности, болтовни, свиста тонкой тросточки, шлёпания об стол карт»? ;Хлестаков;NULL;0
17;21;-1;ВОПРОС СУПЕРБЛИЦА: В 1907 году историк искусства Альфред Лихтварк писал: «В нашу эпоху нет произведения искусства, которое созерцали бы так внимательно, как…». Закончите эту мысль.;…свою фотографию;NULL;100000
